date,location,total_cases,total_deaths,new_cases,new_deaths,total_vaccinations
2021-11-19,India,6423388,107051,2490,323,55863236
2021-09-12,Russia,6550634,481184,6980,697,63799592
2020-04-20,Canada,4304572,15116,9134,325,68770121
2022-10-16,Germany,2234489,20045,7661,624,97546509
2021-05-15,USA,9958614,419543,1724,824,31976637
2022-02-24,Germany,9524682,35709,8182,164,19174474
2022-09-17,France,7204212,305761,2767,572,94541485
2022-08-11,France,9628519,453355,1137,603,20951549
2020-01-26,Canada,4472471,157977,4117,797,47045186
2020-05-02,Brazil,4523669,457364,3420,454,23487580
2021-01-01,Italy,7404852,203675,5845,968,88247219
2022-04-21,Brazil,4981505,229167,4778,152,15548509
2022-09-16,Italy,1766891,381923,3906,736,4895344
2020-10-21,USA,4521373,305063,3637,126,78763398
2020-05-07,Germany,6019877,345665,2953,192,61375184
2020-07-18,USA,3344769,486121,5929,626,61494227
2022-01-09,Canada,9180351,476616,276,773,74422453
2020-09-03,India,103355,219222,1999,529,92680458
2020-04-11,Italy,1262752,189518,1227,9,31035322
2022-03-31,Russia,9784633,183500,6337,91,10137559
2021-10-04,Brazil,5664789,441110,3735,138,85201857
2020-11-05,USA,9695979,474365,695,480,98047161
2020-08-09,Japan,9305648,268591,9501,448,84209500
2021-08-03,Italy,5743066,5499,4152,332,40796132
2021-06-21,Japan,6113790,39041,7901,868,14921354
2021-06-04,Brazil,4721339,293459,7470,339,77487670
2020-08-19,Japan,9889550,132371,7537,960,51255826
2021-07-28,Canada,3275709,382650,2841,51,66675110
2020-07-27,USA,84654,498221,4208,706,96615380
2022-11-22,Canada,5147581,136066,8733,465,92946265
2022-12-11,India,1954354,226486,1088,717,69142485
2022-02-17,USA,8242680,212235,3363,798,82196746
2020-10-04,France,2428388,257831,24,474,33403195
2020-06-13,France,8916786,400705,9764,400,43005603
2021-02-01,France,2663046,353791,6144,438,3719931
2022-04-24,Japan,5499720,294499,5668,877,63452391
2020-08-08,Japan,6640913,335949,4236,604,55864616
2022-07-20,Japan,3416664,330511,9959,931,8053633
2022-07-03,USA,3385659,372050,8068,996,13247416
2022-04-25,India,3385357,379553,2235,921,20093843
2021-04-24,USA,1465689,339499,7295,820,55080981
2020-02-09,Canada,68148,116220,8392,656,60494207
2022-10-15,India,1825665,221421,8448,597,68620390
2020-11-07,Brazil,2745683,349317,3747,508,58270595
2022-06-15,Russia,4056518,264140,3175,152,78494428
2020-03-02,UK,2669995,251071,4897,513,90509421
2020-10-18,Japan,4997895,306531,5037,502,25759289
2021-05-01,Brazil,6397986,3089,7427,853,61869527
2022-04-17,UK,1870928,360971,8605,900,68140096
2020-12-13,Brazil,4155299,282803,2014,771,56235479
2021-11-04,France,6249859,307322,1381,675,28552761
2020-07-09,France,2305413,95965,1098,5,64975517
2022-04-06,Germany,3910197,81268,3426,499,49077323
2020-06-22,Canada,5558019,347186,3655,660,81980434
2021-05-30,India,5414709,368615,7938,716,3463357
2020-08-17,Italy,271836,201798,9101,117,41878265
2022-07-07,UK,3584702,332255,187,484,76155239
2021-02-14,Italy,7281369,237103,5409,600,96107370
2020-03-28,Canada,2299435,244754,2092,665,23659381
2022-11-12,USA,8585377,165637,2130,950,88833475
2020-04-28,USA,2658505,362579,5242,678,58185806
2021-04-18,Canada,1271741,89242,8549,467,32803411
2021-04-09,India,3769315,375348,5647,160,21189622
2020-03-08,Brazil,1046797,153956,5185,269,97617340
2021-05-11,France,3047262,279343,5776,55,43178132
2020-09-03,USA,9973006,60038,7913,227,50026013
2022-04-04,Brazil,564685,57786,7547,848,45998871
2022-01-02,Japan,2879190,371780,7823,148,54745007
2020-10-08,Canada,5596411,236042,7355,45,91075638
2020-09-27,Japan,9700344,311438,6465,143,26895998
2022-02-19,USA,1007293,209087,1497,749,47882983
2022-01-28,USA,4774183,165250,2555,783,60501413
2020-05-31,Brazil,3366612,405881,5409,631,94122434
2020-11-18,India,8411855,262678,2951,339,82814044
2021-11-18,Japan,5267180,353972,1238,412,31210908
2020-08-19,Japan,7807313,298276,9165,731,23013769
2020-04-15,Russia,2704238,377864,4727,519,54418372
2021-09-04,Canada,2630708,298254,3965,343,84919626
2022-09-18,Italy,3494679,189826,5686,386,73124272
2020-12-20,Italy,5517209,325724,9242,472,24095673
2021-06-16,Germany,1767640,415685,3701,274,5356465
2021-08-15,Brazil,6723771,326160,2780,352,62118653
2020-08-20,France,1285160,46233,7398,65,97423351
2020-02-21,Russia,6080526,496020,1588,78,5118036
2021-05-05,France,5173036,392007,2368,597,78842639
2020-08-15,UK,1425472,197780,5789,635,65162829
2022-04-26,France,48984,451448,436,201,54740692
2021-07-21,USA,6556168,224522,2828,977,48442159
2022-05-12,UK,1504384,479653,1556,661,55074558
2020-02-13,Brazil,2230919,106311,7570,557,73807331
2021-12-17,Japan,6940119,34409,7480,112,41503936
2021-01-29,Canada,1737095,246231,9496,90,78566652
2021-09-01,Japan,4780450,412540,182,140,46790421
2021-09-23,France,7469344,401954,7190,288,4150926
2021-04-24,Italy,2109818,496246,6687,900,45110515
2020-01-16,France,2231785,286198,5565,729,5254162
2022-11-12,France,3853339,29709,7241,588,16155687
2021-12-13,UK,9467719,109321,7651,410,9500257
2020-11-28,Brazil,996107,478859,5575,376,65690115
2022-07-29,Canada,7130144,363,1589,383,58962976
2021-04-06,USA,4545583,272502,9779,845,56033066
2020-06-29,Germany,3747389,494829,8851,151,23383716
2021-10-24,Japan,4142807,396456,159,834,37507521
2020-04-21,India,7988004,465417,6555,750,66095788
2021-02-16,France,6245035,45689,9203,626,92014416
2021-11-12,USA,3602279,264080,8244,318,67438513
2022-09-08,Canada,5515989,374416,6846,368,6579060
2021-12-29,Germany,2121690,91074,2307,605,23727749
2021-12-22,Japan,491234,175037,1228,994,55563635
2022-09-08,UK,9909709,208606,7226,559,58328414
2020-06-19,Canada,5401218,882,5590,702,56251714
2020-11-05,Brazil,6914550,413440,6919,461,23011815
2021-05-03,Brazil,6167294,367371,5585,11,54903234
2021-10-04,UK,9286029,254822,9227,155,23060832
2020-11-11,USA,6906726,125865,6046,683,90322035
2020-05-22,Germany,5888794,123745,4945,476,77659066
2020-01-14,Brazil,7558158,424041,7927,938,61245332
2021-05-04,UK,6510425,463956,7016,400,74287423
2022-05-22,France,8511017,28885,7758,807,10116815
2022-10-14,Italy,7887739,171128,5086,176,52623444
2021-07-21,UK,769598,396419,9456,340,49037559
2022-06-15,Russia,5292895,191313,7161,56,55070127
2020-05-10,India,7971379,395460,1884,854,12050999
2021-11-23,Japan,3331068,360466,1809,851,5792427
2020-03-12,Germany,3256415,330763,3167,447,38895244
2022-11-29,Germany,874371,21584,6352,202,84468355
2022-05-08,Germany,5654237,270665,9009,696,67813854
2021-03-27,Brazil,973548,181089,6056,632,64768712
2021-01-04,USA,3344014,295685,2437,737,7025007
2021-04-12,Canada,7064746,29063,6468,201,18268068
2021-09-06,India,9602083,70268,9080,329,73062196
2021-11-03,UK,6216204,256306,5951,362,57299300
2020-11-24,USA,5193542,126218,5276,891,95140247
2022-11-26,Italy,2959034,380350,8859,453,6523058
2022-12-04,India,4574293,458168,7818,355,69512616
2020-02-28,Russia,6706971,224126,4728,215,59889082
2021-12-04,Canada,43585,170635,2624,971,55914407
2020-05-02,Japan,2539448,170824,5738,554,75999026
2022-10-01,France,109556,226305,4232,886,54913390
2021-09-01,Brazil,1575557,395783,5793,22,21726243
2022-12-13,Russia,8306461,409337,4523,154,44988878
2021-10-13,Canada,2009021,394890,5571,185,99075692
2020-09-12,France,1201482,76411,9010,248,19870523
2021-08-06,Russia,542335,109876,9298,748,42825604
2021-10-30,Germany,4270070,459491,2224,804,77695121
2021-03-19,France,6700379,198153,8389,133,24930683
2021-08-28,UK,3560920,160212,6091,320,3555495
2021-03-22,France,6860006,140399,8662,389,2211584
2022-08-06,Canada,2484413,463879,6361,433,49437970
2021-07-30,UK,2907360,23331,1948,21,24481878
2022-12-30,Japan,5895544,23004,7094,872,13787289
2020-06-26,Japan,5697469,238441,6318,599,1493488
2022-03-26,India,2235000,381387,3796,664,26087196
2022-11-24,Italy,6908531,403708,234,124,36741434
2020-02-15,Russia,4322252,448013,9120,78,97556286
2020-05-19,Germany,5822184,189167,3607,857,53902945
2020-04-02,Japan,402690,406965,8043,967,65577682
2022-07-29,India,2548421,325361,522,50,61896637
2021-12-15,Germany,1954109,89044,5904,727,85192239
2020-02-17,Germany,4422880,271189,4888,175,31602493
2022-08-22,USA,7205547,282260,9821,869,99645121
2020-08-27,UK,8323735,18667,5832,252,6974203
2021-12-21,Russia,6457294,337201,7122,965,75860229
2022-10-10,Canada,1384250,74205,5842,245,83499494
2022-10-15,Italy,61087,27302,1316,738,38185413
2021-05-16,Russia,6409907,404499,1124,105,62339514
2021-02-24,India,1496176,162007,5621,192,23375109
2022-03-24,France,39353,72534,5423,315,52320798
2021-04-28,USA,6484531,225414,2587,301,13382760
2021-09-18,UK,3360011,162696,9215,547,68798439
2021-09-22,Germany,7654909,13440,5672,953,86336311
2021-10-23,Canada,4259622,373145,1378,715,16654773
2022-11-29,Germany,4959617,308645,3374,933,64419796
2020-10-29,Brazil,5725570,480549,1519,778,56893608
2021-11-17,Russia,416880,394485,5777,267,3682027
2021-05-19,Italy,7072695,270012,7935,169,62955281
2022-11-25,Canada,7433296,161323,6093,550,47967574
2021-02-16,UK,4965050,340053,8418,454,93097189
2021-05-27,UK,813168,84523,5355,650,1363990
2022-10-13,India,225281,169801,4968,291,74488483
2022-12-21,France,3782875,15734,9083,563,31370758
2020-08-24,USA,2995765,173501,5574,798,73738492
2022-09-11,Russia,7734102,172409,4072,800,21171473
2021-09-13,Japan,5595108,433541,2257,140,29141536
2022-08-31,Russia,5674719,345744,8588,145,53077026
2021-01-29,France,8658144,455730,4424,424,17418734
2022-05-14,USA,6609280,270577,3237,313,81208429
2022-08-17,Germany,5500306,140183,3893,183,19862848
2021-08-07,Japan,4372093,103986,2005,663,99409876
2020-11-16,USA,1561729,325897,2016,712,45895464
2022-11-01,India,5031595,113783,9388,127,2443647
2022-02-04,USA,5478047,211655,1772,286,33867115
2022-02-12,Germany,9070277,466836,8353,822,21474535
2021-10-11,Canada,1119043,283895,3976,252,38434407
2022-08-03,Russia,7103230,147525,1751,777,67806621
2021-12-07,Brazil,2558231,216916,8967,699,89804069
2021-04-20,Italy,6659908,432184,7430,385,5272098
2020-10-03,India,3080389,161149,7170,229,97467565
2022-11-18,USA,1661909,239654,6469,270,88779877
2022-01-18,UK,2656138,427991,9131,770,34385731
2020-11-26,Japan,110078,189216,3220,810,93324580
2021-10-06,Canada,1915631,310714,539,414,93271240
2022-05-21,Germany,6314127,177169,1461,197,37198120
2020-05-31,Brazil,9792712,286647,5184,322,11663415
2022-05-20,UK,2008187,133851,8547,55,97725911
2022-04-06,Russia,1659066,348984,234,830,62098447
2020-08-02,Russia,2148815,131827,1548,202,28485259
2021-01-26,Russia,7355740,301407,7480,782,19580993
2020-10-22,USA,4506259,370635,4213,620,53658557
2021-04-01,Japan,7473915,317231,1673,627,16619154
2020-10-29,USA,7658426,435497,6708,603,75677341
2022-12-28,USA,6404003,51482,7982,137,64364431
2020-01-01,Italy,4135314,448073,2100,421,35188183
2021-11-11,USA,910681,122989,3748,814,95049612
2022-10-04,Italy,1607618,410616,3173,56,6805060
2022-07-22,Brazil,3896830,302259,1815,561,43731703
2022-06-15,Italy,4336787,276393,3841,70,36321765
2020-08-21,Russia,2755423,244255,8016,910,27598238
2022-01-13,USA,71295,440041,7011,913,85009204
2020-07-04,Russia,9132582,110361,4493,593,50245264
2021-03-24,Russia,7613287,286744,674,371,88266032
2022-12-30,India,3445376,299850,8088,616,56359088
2021-05-03,Germany,5251035,281366,8578,599,18954434
2020-12-08,Brazil,3612600,361185,2158,513,14110617
2022-09-14,USA,825816,366648,2661,871,57592844
2022-12-09,Russia,8763313,41139,2064,83,67940517
2022-10-14,Germany,2026793,114919,3253,993,62739605
2022-07-19,Germany,554594,247677,4979,42,10067284
2021-11-30,France,8536326,303446,7703,665,55791516
2022-02-07,France,3504473,225756,8931,838,97452588
2021-10-21,Italy,7299695,349982,1401,933,37841062
2020-12-19,Brazil,2204664,461375,3259,605,8528580
2022-12-12,Canada,4341747,139718,3923,809,85885645
2022-12-26,Germany,9907771,144615,4214,132,68171331
2021-06-11,Brazil,686976,225568,3227,394,9283680
2022-03-18,Japan,2472189,153857,2745,64,63773075
2022-05-09,UK,8506404,340497,6091,289,28231651
2021-11-19,Canada,1241082,424622,3866,375,12023020
2022-12-30,India,5184502,351136,5818,768,65580739
2022-08-02,Italy,6561000,313572,2222,466,49662087
2022-11-23,Russia,6671458,23777,2792,897,70254387
2022-03-08,Japan,4892306,57939,9889,212,26038055
2021-04-18,Russia,3674515,446242,4063,147,16993144
2021-08-26,Canada,1579159,348594,1524,572,79412080
2020-11-29,France,9295925,422769,8224,470,96508451
2021-09-05,Japan,4515488,23548,6198,148,10230661
2020-06-12,Brazil,6041495,456437,4025,87,85240055
2020-12-12,UK,9056842,430481,2566,323,22596349
2021-04-30,UK,8767088,125549,2803,894,28050645
2020-12-08,Japan,6324167,433917,3709,395,38774853
2020-11-11,Brazil,791971,444503,6155,789,24105705
2020-10-09,Canada,501157,137799,719,403,56596808
2022-03-05,Brazil,4378727,241532,6516,81,9817103
2022-12-29,Canada,4124499,181789,4579,640,56659430
2022-05-20,USA,5946594,425643,972,285,16913581
2020-04-06,UK,5106799,147764,3718,381,62415546
2021-09-25,Germany,4327576,31625,7395,864,74861349
2020-02-09,Canada,4962140,287062,4402,791,65367776
2020-03-02,India,2799487,434352,4552,269,9271569
2022-02-15,UK,2904941,376970,2207,291,56570379
2021-09-02,Italy,7983441,114881,4426,452,59393845
2022-03-28,Italy,5320385,445625,6919,714,28914687
2020-11-17,Russia,2100021,277721,8835,23,90135040
2021-07-29,Canada,9749436,347299,8386,955,84204942
2022-02-10,Brazil,6928040,111776,8680,862,20778094
2020-05-06,Italy,618467,361390,2204,310,23574490
2020-09-23,USA,5333152,233996,5345,460,82362831
2022-01-20,Germany,7328141,257831,3276,207,58314516
2020-05-06,India,5072148,212803,1102,791,13702784
2020-08-24,USA,1707923,158761,5243,716,91036764
2022-06-03,UK,5134207,142226,6614,663,24084930
2020-04-13,Brazil,8516999,497873,9433,437,12825995
2020-01-15,Russia,6730886,357092,8707,537,34473851
2022-02-11,USA,9405634,21341,5223,705,6628251
2022-07-18,Canada,5853584,359698,8584,335,32951846
2022-02-10,India,8170528,205753,630,421,10492836
2021-04-30,Germany,4301754,369942,9171,749,61657758
2022-10-24,Canada,2269042,308474,6683,320,35001017
2020-11-29,France,1983509,249141,277,496,28570592
2020-10-05,France,7740141,349903,232,586,51168608
2021-05-05,Canada,116381,199488,9744,946,92654335
2020-02-24,Japan,1521701,256139,5690,162,21038318
2020-06-26,Italy,6105525,348951,7659,810,52438119
2022-02-23,Russia,9587994,295457,25,540,3552138
2022-10-01,India,3438618,309044,7468,164,31646748
2020-12-18,Japan,7913697,78840,6410,848,80441432
2020-03-09,Canada,2457184,165767,8652,697,33557900
2022-05-09,USA,4103022,161297,3764,565,57783858
2022-11-07,Italy,1418175,348216,6599,294,62009707
2022-01-18,Italy,3806688,358511,5102,41,7753653
2020-01-17,India,7265795,49156,7006,923,49952914
2022-05-10,India,3772962,208281,3483,284,19665209
2021-06-26,Italy,4041776,87453,1994,938,67174947
2021-02-15,Japan,2727423,158901,8682,386,76780315
2021-11-19,Canada,5709840,474124,1072,137,93084546
